ID,Segment,SMS_Name,Timing,Character_Count,Message_Text,CTA_Link,Note
SMS-ACQ-01,Acquisition,Découverte Value Prop,Jour 1,156,"Vendez votre bien sans agence ! 🏠 Avec Serenis, économisez 7 000€ en frais d'agence. Mandat 999€ forfait. Essai gratuit 30j ➜ https://bit.ly/serenis-essai Serenis",https://bit.ly/serenis-essai,Welcome SMS pour leads froids
SMS-ACQ-02,Acquisition,Proof Social,Jour 3,158,"""J'ai vendu 15 j. plus vite et économisé 8K€"" - Marie, Lille. Rejoignez 1 200+ vendeurs qui utilisent Serenis. Essai gratuit ➜ https://bit.ly/serenis-essai Serenis",https://bit.ly/serenis-essai,Social proof testimonial
SMS-ACQ-03,Acquisition,Pain Point - Urgence,Jour 5,155,"Saviez-vous ? Les agences prennent 7-8% sur votre vente ! Sur 300K€, ça = 21 000€ ! 😱 Serenis : 999€ forfait. Calculez vos économies ➜ https://bit.ly/serenis-calc Serenis",https://bit.ly/serenis-calc,Pain point highlighting
SMS-ACQ-04,Acquisition,FOMO - Offre limitée,Jour 7,160,"🎁 OFFRE LANCEMENT : 1er mois à 99€ (au lieu de 999€) 30 places restantes. Accès : coaching IA + outils pro complets. Réservez vite ➜ https://bit.ly/serenis-promo Serenis",https://bit.ly/serenis-promo,Limited time offer with urgency
SMS-ACQ-05,Acquisition,Désobstruction,Jour 10,159,"Peur de vendre seul ? ✓ Support 24/7 ✓ Coach IA gratuit ✓ Documents légaux inclus ✓ Visiteurs certifiés Découvrez comment ➜ https://bit.ly/serenis-comment Serenis",https://bit.ly/serenis-comment,Objection handling
SMS-NUR-06,Nurturing,Re-engagement After Landing,2h après visite,158,"Vous hésitez encore ? Parlons des 7 erreurs que font 90% des vendeurs solo. Guide gratuit (5 min de lecture) ➜ https://bit.ly/serenis-guide Serenis",https://bit.ly/serenis-guide,Cart abandonment / hesitation
SMS-NUR-07,Nurturing,Économies Personnalisées,Jour 3 du nurturing,160,"[CALCUL GRATUIT] Vous vendez 250K€ ? Sans agence : gagnez 17 500€ de plus ! Vérifiez votre économie personnalisée ➜ https://bit.ly/serenis-econ Serenis",https://bit.ly/serenis-econ,Personalized savings calculator
SMS-NUR-08,Nurturing,Témoignage Court,Jour 5 du nurturing,159,"""Pas forcément plus long, juste plus intelligent"" Pierre V. a vendu en 18j (vs 45j avec agence précédente). Ses secrets ➜ https://bit.ly/serenis-temo Serenis",https://bit.ly/serenis-temo,Success case study
SMS-NUR-09,Nurturing,Webinar Invite,Jour 8 du nurturing,160,"Jeudi 18h : WebRTC GRATUIT ""Vendre seul en 2026"" Durée 20 min | Q&A live avec notre coach. Inscrivez-vous ➜ https://bit.ly/serenis-webinaire Serenis",https://bit.ly/serenis-webinaire,Live engagement event
SMS-CONV-10,Conversion,CTA Direct - Créer Annonce,Lors visite produit,160,"Prêt(e) à lancer ? Créez votre annonce en 5 minutes. ✓ Frais fixes 999€ ✓ Coaching inclus ✓ Zéro risque 30j Démarrer ➜ https://bit.ly/serenis-start Serenis",https://bit.ly/serenis-start,Direct call to action
SMS-CONV-11,Conversion,Objection - Trop cher,Après abandon panier,159,"999€ vs 7 000€ d'agence = 6X moins cher. Sur un bien à 300K€, vous gagnez 6K€ NET. Calculez votre ROI ➜ https://bit.ly/serenis-roi Serenis",https://bit.ly/serenis-roi,Price objection handling
SMS-CONV-12,Conversion,Urgence - Stock Limité,2h avant fin promo,160,"🔴 ALERTE : Plus que 6h pour bénéficier du 1er mois à 99€ ! Mandat 999€/mois. 1 200+ vendeurs satisfaits. Rejoignez-les ➜ https://bit.ly/serenis-urgent Serenis",https://bit.ly/serenis-urgent,Last chance urgency
SMS-CONV-13,Conversion,Garantie/Essai,Relance 24h,160,"Peur du risque ? Essai 30 jours gratuit. Aucune CB requise. Si vous vendez → payez 999€. Si vous vendez pas → zéro frais. Essayer ➜ https://bit.ly/serenis-risk-free Serenis",https://bit.ly/serenis-risk-free,Reduce purchase friction
SMS-OB-14,Onboarding,Bienvenue + 1er Pas,Jour 1 post-signup,160,"🎉 Bienvenue dans Serenis ! Votre coach IA ""Alex"" attend en chat support. 1er étape : Créez votre annonce ➜ https://bit.ly/serenis-app Serenis",https://bit.ly/serenis-app,Welcome automation
SMS-OB-15,Onboarding,Guide Quick Win,Jour 3,160,"💡 CONSEIL JOUR 2 : Uploadez 5+ photos + courte vidéo. Annonces avec vidéo = 3X plus de clics. Guide rapide ➜ https://bit.ly/serenis-photo-tuto Serenis",https://bit.ly/serenis-photo-tuto,Quick win engagement
SMS-OB-16,Onboarding,Rappel Premium Features,Jour 7,160,"Psst... Avez-vous essayé le ""Boost Annonce"" ? 7€ pour x10 visiteurs. Taux de vente + 35%. Voir stats ➜ https://bit.ly/serenis-boost Serenis",https://bit.ly/serenis-boost,Monetization hint
SMS-REF-17,Parrainage,Invitation Parrain,Jour 15 post-achat,160,"Gagnez 100€ par ami parrainé ! 💰 Chaque recommandation = 100€ crédités à votre compte. Partager votre lien ➜ https://bit.ly/serenis-refer Serenis",https://bit.ly/serenis-refer,Referral program launch
SMS-REF-18,Parrainage,Parrain - Relance,Jour 30,160,"Déjà 5 amis intéressés ? Générez 500€ en les recommandant. Programme illimité. Aucune limite de revenus. Activer parrainage ➜ https://bit.ly/serenis-refer-active Serenis",https://bit.ly/serenis-refer-active,Referral re-engagement
SMS-REACT-19,Réactivation,Winback - Qu'est-ce qui s'est passé,Jour 45 inactivité 2w,160,"Ça fait 2 semaines... 😕 L'annonce n'est pas encore créée ? Problème technique ou des questions ? Support urgent ➜ https://bit.ly/serenis-help Serenis",https://bit.ly/serenis-help,Churn prevention
SMS-REACT-20,Réactivation,Winback - Offre Récupération,Jour 60 inactivité 1m,160,"Dernier appel 🔴 Votre abonnement Serenis expire bientôt. Vous avez investi 999€ → finissez ce que vous avez commencé ! Relancer l'annonce ➜ https://bit.ly/serenis-restart Serenis",https://bit.ly/serenis-restart,Final churn recovery
